分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,中京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),父系統,父系統不明,1155,87,280,0.0753,0.2424,73.4,0.0,7.52,0.2051,0.0373,1.182,A,中京芝短中距離(1400-1600)・良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.182
競馬場×距離帯×馬場×枠,函館,小回り・持続型,ダ,中距離(1700-2000),良,外枠(7-8),母父系統,ナスルーラ系,208,16,59,0.0769,0.2837,63.7,0.0,6.94,0.2402,0.0435,1.181,A,函館ダ中距離(1700-2000)・良・外枠(7-8)で母父系統「ナスルーラ系」は基準比リフト1.181
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,ダ,短距離(1000-1300),良,外枠(7-8),父系統,ニアークティック系,183,16,49,0.0874,0.2678,101.5,0.0,7.11,0.2268,0.041,1.181,A,小倉ダ短距離(1000-1300)・良・外枠(7-8)で父系統「ニアークティック系」は基準比リフト1.181
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),父,ゴールドアリュール,219,25,56,0.1142,0.2557,180.6,0.0,6.84,0.2165,0.0392,1.181,A,東京ダ短中距離(1400-1600)・良・外枠(7-8)で父「ゴールドアリュール」は基準比リフト1.181
競馬場×距離帯×馬場×枠,福島,小回り・機動型,芝,中距離(1700-2000),良,内枠(1-2),母父,サンデーサイレンス,168,15,41,0.0893,0.244,73.5,0.0,7.08,0.2066,0.0374,1.181,A,福島芝中距離(1700-2000)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.181
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,キングカメハメハ,166,16,39,0.0964,0.2349,73.3,0.0,7.57,0.199,0.0359,1.18,A,中山ダ中距離(1700-2000)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.18
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),重不良,中枠(3-6),母父系統,ネイティヴダンサー系,615,45,141,0.0732,0.2293,149.5,0.0,8.07,0.1943,0.035,1.18,A,東京ダ短中距離(1400-1600)・重不良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.18
競馬場×距離帯×馬場×枠,札幌,小回り・持続型,芝,短距離(1000-1300),良,外枠(7-8),父系統,父系統不明,212,20,55,0.0943,0.2594,76.6,0.0,6.94,0.2201,0.0393,1.179,A,札幌芝短距離(1000-1300)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.179
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,芝,長距離(2500以上),良,外枠(7-8),父系統,ロイヤルチャージャー系,187,14,39,0.0749,0.2086,271.3,0.0,8.04,0.177,0.0316,1.179,A,東京芝長距離(2500以上)・良・外枠(7-8)で父系統「ロイヤルチャージャー系」は基準比リフト1.179
競馬場×距離帯×馬場×枠,札幌,小回り・持続型,芝,短距離(1000-1300),良,中枠(3-6),父系統,ナスルーラ系,188,15,46,0.0798,0.2447,39.8,0.0,7.47,0.2078,0.0369,1.178,A,札幌芝短距離(1000-1300)・良・中枠(3-6)で父系統「ナスルーラ系」は基準比リフト1.178
